Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_184_S27_L001_R1_001	224890	35034	102577	87279	0.16	0.46	0.39	0.786	0.104	0.173
2	CAT_52507_212_S28_L001_R1_001	872654	46378	127194	699082	0.05	0.15	0.8	0.956	0.152	0.289
3	CAT_52507_240_S29_L001_R1_001	113173	28388	76542	8243	0.25	0.68	0.07	0.58	0.08	0.05
4	CAT_52507_271_S30_L001_R1_001	428340	39207	102048	287085	0.09	0.24	0.67	0.862	0.126	0.27
5	CAT_52507_351_S31_L001_R1_001	174648	30314	75751	68583	0.17	0.43	0.39	0.862	0.114	0.123
6	CAT_52507_356_S32_L001_R1_001	327918	26036	81083	220799	0.08	0.25	0.67	0.91	0.132	0.348
7	CAT_52507_362_S33_L001_R1_001	111786	22247	80022	9517	0.2	0.72	0.09	0.564	0.094	0.128
8	CAT_52507_385_S1_L001_R1_001	156584	39342	104615	12627	0.25	0.67	0.08	0.668	0.1	0.08
9	CAT_52507_392_S2_L001_R1_001	149225	36396	106463	6366	0.24	0.71	0.04	0.572	0.084	0
10	CAT_52507_397_S3_L001_R1_001	204231	38088	147343	18800	0.19	0.72	0.09	0.656	0.102	0.059
11	CAT_52507_401_S4_L001_R1_001	184046	29685	152579	1782	0.16	0.83	0.01	0.094	0.02	0.1
12	CAT_52507_406_S5_L001_R1_001	167900	31033	121789	15078	0.18	0.73	0.09	0.672	0.09	0.067
13	CAT_52507_407_S6_L001_R1_001	95517	13748	77612	4157	0.14	0.81	0.04	0.156	0.018	0.111
14	CAT_52507_411_S7_L001_R1_001	93444	20062	64750	8632	0.21	0.69	0.09	0.53	0.088	0.091
15	CAT_52507_413_S8_L001_R1_001	136431	23552	92691	20188	0.17	0.68	0.15	0.68	0.094	0.085
16	CAT_52507_414_S9_L001_R1_001	90625	20471	68300	1854	0.23	0.75	0.02	0.162	0.028	0.071
17	CAT_52507_415_S10_L001_R1_001	144904	37149	79959	27796	0.26	0.55	0.19	0.814	0.122	0.082
18	CAT_52507_418_S11_L001_R1_001	132989	23702	87185	22102	0.18	0.66	0.17	0.72	0.1	0.08
19	CAT_52507_422_S12_L001_R1_001	167174	36415	125125	5634	0.22	0.75	0.03	0.348	0.052	0.038
20	CAT_52507_425_S13_L001_R1_001	88963	23637	60476	4850	0.27	0.68	0.05	0.404	0.068	0.088
21	CAT_52507_429_S14_L001_R1_001	80301	20393	55764	4144	0.25	0.69	0.05	0.454	0.082	0.049
22	CAT_52507_431_S15_L001_R1_001	130908	25412	85731	19765	0.19	0.65	0.15	0.726	0.1	0.14
23	CAT_52507_440_S16_L001_R1_001	130286	25198	93685	11403	0.19	0.72	0.09	0.654	0.088	0.023
24	CAT_52507_442_S17_L001_R1_001	186399	32199	122244	31956	0.17	0.66	0.17	0.754	0.096	0.083
25	CAT_52507_445_S18_L001_R1_001	114301	18645	57425	38231	0.16	0.5	0.33	0.788	0.108	0.13
26	CAT_52507_465_S19_L001_R1_001	179719	30607	89301	59811	0.17	0.5	0.33	0.736	0.128	0.172
27	CAT_52507_467_S20_L001_R1_001	156460	26701	94930	34829	0.17	0.61	0.22	0.704	0.104	0.135
28	CAT_52507_472_S21_L001_R1_001	128384	32855	90102	5427	0.26	0.7	0.04	0.416	0.074	0.054
29	CAT_52507_473_S22_L001_R1_001	215928	31890	111893	72145	0.15	0.52	0.33	0.734	0.104	0.173
30	CAT_52507_477_S23_L001_R1_001	120132	24866	87508	7758	0.21	0.73	0.06	0.562	0.102	0.02
31	CAT_52507_479_S24_L001_R1_001	83185	9511	45270	28404	0.11	0.54	0.34	0.666	0.1	0.08
32	CAT_52507_484_S25_L001_R1_001	176419	31700	104516	40203	0.18	0.59	0.23	0.798	0.13	0.123
33	CAT_52507_485_S26_L001_R1_001	161437	32828	90679	37930	0.2	0.56	0.23	0.854	0.106	0.151
34	CAT_52508_002_S34_L001_R1_001	118306	30461	78785	9060	0.26	0.67	0.08	0.602	0.11	0
35	CAT_52508_004_S35_L001_R1_001	171462	32696	134619	4147	0.19	0.79	0.02	0.172	0.036	0.056
36	CAT_52508_011_S36_L001_R1_001	848483	43503	80681	724299	0.05	0.1	0.85	0.952	0.148	0.311
37	CAT_52508_014_S37_L001_R1_001	105176	26033	76298	2845	0.25	0.73	0.03	0.27	0.038	0.053
38	CAT_52508_017_S38_L001_R1_001	406870	35873	140729	230268	0.09	0.35	0.57	0.83	0.122	0.197
39	CAT_52508_019_S39_L001_R1_001	110536	24566	81298	4672	0.22	0.74	0.04	0.338	0.058	0.103
40	CAT_52508_022_S40_L001_R1_001	123863	27881	94027	1955	0.23	0.76	0.02	0.158	0.028	0
41	CAT_52508_024_S41_L001_R1_001	108536	22308	82549	3679	0.21	0.76	0.03	0.254	0.038	0.053
42	CAT_52508_025_S42_L001_R1_001	102265	21331	76686	4248	0.21	0.75	0.04	0.282	0.05	0.04
43	CAT_52508_027_S43_L001_R1_001	138849	32065	91950	14834	0.23	0.66	0.11	0.66	0.108	0.056
44	CAT_52508_031_S44_L001_R1_001	132790	28293	98125	6372	0.21	0.74	0.05	0.418	0.054	0.037
45	CAT_52508_033_S45_L001_R1_001	167977	25988	125042	16947	0.15	0.74	0.1	0.612	0.108	0.074
46	CAT_52508_036_S46_L001_R1_001	165140	28651	70099	66390	0.17	0.42	0.4	0.74	0.152	0.184
47	CAT_52508_039_S47_L001_R1_001	120363	26604	87453	6306	0.22	0.73	0.05	0.282	0.042	0.048
48	CAT_52508_040_S48_L001_R1_001	115769	25092	84295	6382	0.22	0.73	0.06	0.484	0.074	0.027
49	CAT_52508_043_S49_L001_R1_001	100296	20124	70721	9451	0.2	0.71	0.09	0.64	0.118	0.051
50	CAT_52508_046_S50_L001_R1_001	109411	27419	76051	5941	0.25	0.7	0.05	0.498	0.084	0.048
51	CAT_52508_047_S51_L001_R1_001	130003	35181	90447	4375	0.27	0.7	0.03	0.424	0.072	0
52	CAT_52508_052_S52_L001_R1_001	205964	33626	138783	33555	0.16	0.67	0.16	0.796	0.13	0.092
53	CAT_52508_056_S53_L001_R1_001	118714	23745	90674	4295	0.2	0.76	0.04	0.404	0.05	0.04
54	CAT_52508_062_S54_L001_R1_001	116101	28190	82402	5509	0.24	0.71	0.05	0.444	0.072	0.028
55	CAT_52508_064_S55_L001_R1_001	127250	28304	95189	3757	0.22	0.75	0.03	0.286	0.046	0.043
56	CAT_52508_065_S56_L001_R1_001	132425	25261	90862	16302	0.19	0.69	0.12	0.75	0.108	0.093
57	CAT_52508_069_S57_L001_R1_001	166082	31930	104015	30137	0.19	0.63	0.18	0.79	0.122	0.066
58	CAT_52508_070_S58_L001_R1_001	99625	28183	65223	6219	0.28	0.65	0.06	0.532	0.096	0.042
59	CAT_52508_078_S59_L001_R1_001	172357	34038	126426	11893	0.2	0.73	0.07	0.576	0.078	0
60	CAT_52508_079_S60_L001_R1_001	269784	32859	126681	110244	0.12	0.47	0.41	0.842	0.1	0.18
61	CAT_52508_086_S61_L001_R1_001	137231	30925	103426	2880	0.23	0.75	0.02	0.15	0.018	0
62	CAT_52508_087_S62_L001_R1_001	107059	24851	71258	10950	0.23	0.67	0.1	0.606	0.108	0.074
63	CAT_52508_088_S63_L001_R1_001	239057	29121	78925	131011	0.12	0.33	0.55	0.808	0.136	0.25
64	CAT_52508_090_S64_L001_R1_001	144427	26160	77929	40338	0.18	0.54	0.28	0.792	0.132	0.152
65	CAT_52508_091_S65_L001_R1_001	171219	36504	131948	2767	0.21	0.77	0.02	0.306	0.06	0.167
66	CAT_52508_101_S66_L001_R1_001	119743	26313	90744	2686	0.22	0.76	0.02	0.22	0.032	0
67	CAT_52508_105_S67_L001_R1_001	126998	25121	67987	33890	0.2	0.54	0.27	0.784	0.11	0.091
68	CAT_52508_106_S68_L001_R1_001	115419	26834	70657	17928	0.23	0.61	0.16	0.752	0.114	0.07
69	CAT_52508_111_S69_L001_R1_001	103048	23613	76045	3390	0.23	0.74	0.03	0.2	0.032	0
70	CAT_52508_114_S70_L001_R1_001	144564	33466	109380	1718	0.23	0.76	0.01	0.108	0.024	0.083
71	CAT_52508_115_S71_L001_R1_001	121138	27769	87818	5551	0.23	0.72	0.05	0.424	0.072	0
72	CAT_52508_117_S72_L001_R1_001	140676	31052	108388	1236	0.22	0.77	0.01	0.128	0.018	0.111
73	CAT_52508_119_S73_L001_R1_001	142573	27081	99672	15820	0.19	0.7	0.11	0.72	0.116	0.017
74	CAT_52508_127_S74_L001_R1_001	477017	39979	85153	351885	0.08	0.18	0.74	0.852	0.122	0.328
75	CAT_52508_129_S75_L001_R1_001	156461	37221	111479	7761	0.24	0.71	0.05	0.512	0.088	0.045
76	CAT_52508_131_S76_L001_R1_001	151535	28284	113378	9873	0.19	0.75	0.07	0.57	0.088	0.068
77	CAT_52508_134_S77_L001_R1_001	104323	22928	76810	4585	0.22	0.74	0.04	0.346	0.05	0
78	CAT_52508_135_S78_L001_R1_001	87664	22216	64436	1012	0.25	0.74	0.01	0.064	0.014	0.143
79	CAT_52508_139_S79_L001_R1_001	126663	28355	89031	9277	0.22	0.7	0.07	0.648	0.096	0
80	CAT_52508_143_S80_L001_R1_001	107479	19200	79495	8784	0.18	0.74	0.08	0.538	0.09	0.089
81	CAT_52508_145_S81_L001_R1_001	132418	8889	89322	34207	0.07	0.67	0.26	0.604	0.1	0.2
82	CAT_52508_149_S82_L001_R1_001	194372	31110	60217	103045	0.16	0.31	0.53	0.83	0.132	0.227
83	CAT_52508_156_S83_L001_R1_001	165835	33435	104294	28106	0.2	0.63	0.17	0.79	0.136	0.088
84	CAT_52508_157_S84_L001_R1_001	296726	32289	196096	68341	0.11	0.66	0.23	0.784	0.12	0.15
85	CAT_52508_158_S85_L001_R1_001	141338	31298	102077	7963	0.22	0.72	0.06	0.456	0.054	0.111
86	CAT_52508_167_S86_L001_R1_001	135183	29739	103500	1944	0.22	0.77	0.01	0.024	0	NA
87	CAT_52508_168_S87_L001_R1_001	98183	22436	74163	1584	0.23	0.76	0.02	0.136	0.028	0.071
88	CAT_52508_173_S88_L001_R1_001	119240	23222	87347	8671	0.19	0.73	0.07	0.654	0.098	0
89	CAT_52508_174_S89_L001_R1_001	275212	39338	110559	125315	0.14	0.4	0.46	0.886	0.122	0.328
90	CAT_52508_176_S90_L001_R1_001	83349	18418	53473	11458	0.22	0.64	0.14	0.65	0.086	0.093
91	CAT_52508_179_S91_L001_R1_001	109797	24351	80321	5125	0.22	0.73	0.05	0.414	0.058	0.034
92	CAT_52508_182_S92_L001_R1_001	145959	24296	114634	7029	0.17	0.79	0.05	0.296	0.056	0.107
93	CAT_52508_183_S93_L001_R1_001	99326	21840	65239	12247	0.22	0.66	0.12	0.65	0.098	0.082
94	CAT_52508_189_S94_L001_R1_001	109191	17783	77639	13769	0.16	0.71	0.13	0.584	0.084	0.024
95	CAT_52508_201_S95_L001_R1_001	129386	24252	102335	2799	0.19	0.79	0.02	0.15	0.024	0.25
