Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	90763-231_S1_L001_R1_001	588898	50841	105653	432404	0.09	0.18	0.73	0.939	0.153	0.452
2	90763-232_S2_L001_R1_001	217583	34429	57882	125272	0.16	0.27	0.58	0.901	0.13	0.21
3	90763-236_S3_L001_R1_001	4756319	109986	294944	4351389	0.02	0.06	0.91	0.968	0.153	0.699
4	90763-238_S5_L001_R1_001	149061	41291	72378	35392	0.28	0.49	0.24	0.905	0.126	0.117
5	90768-005_S6_L001_R1_001	377372	47019	93835	236518	0.12	0.25	0.63	0.901	0.132	0.317
6	90768-044_S16_L001_R1_001	132868	28150	47510	57208	0.21	0.36	0.43	0.868	0.134	0.141
7	90768-055_S18_L001_R1_001	120800	34429	51060	35311	0.29	0.42	0.29	0.897	0.155	0.054
8	90768-075_S24_L001_R1_001	121436	37316	63835	20285	0.31	0.53	0.17	0.876	0.141	0.075
9	90768-078_S27_L001_R1_001	174904	50582	97638	26684	0.29	0.56	0.15	0.866	0.145	0.043
10	90768-109_S34_L001_R1_001	269274	52214	106529	110531	0.19	0.4	0.41	0.905	0.126	0.167
11	90768-115_S36_L001_R1_001	172516	43897	87298	41321	0.25	0.51	0.24	0.874	0.122	0.172
12	90768-120_S37_L001_R1_001	82611	26796	40128	15687	0.32	0.49	0.19	0.836	0.153	0.068
13	90768-127_S39_L001_R1_001	126173	36831	57850	31492	0.29	0.46	0.25	0.863	0.128	0.082
14	90768-130_S40_L001_R1_001	129052	38254	67496	23302	0.3	0.52	0.18	0.853	0.132	0.079
15	90768-133_S41_L001_R1_001	209101	41357	72245	95499	0.2	0.35	0.46	0.908	0.122	0.155
16	90768-160_S48_L001_R1_001	114475	33894	54548	26033	0.3	0.48	0.23	0.876	0.149	0.113
17	90768-165_S50_L001_R1_001	148834	33428	57167	58239	0.22	0.38	0.39	0.887	0.145	0.116
18	90768-178_S51_L001_R1_001	222721	39848	66542	116331	0.18	0.3	0.52	0.901	0.124	0.237
19	90768-179_S52_L001_R1_001	404622	45389	78346	280887	0.11	0.19	0.69	0.905	0.122	0.293
20	90768-183_S53_L001_R1_001	113689	37271	59459	16959	0.33	0.52	0.15	0.811	0.12	0.053
21	90768-184_S54_L001_R1_001	102074	35681	52336	14057	0.35	0.51	0.14	0.834	0.185	0.057
22	90768-187_S57_L001_R1_001	135534	39078	71307	25149	0.29	0.53	0.19	0.838	0.143	0.118
23	90768-189_S58_L001_R1_001	101984	32822	49291	19871	0.32	0.48	0.19	0.821	0.134	0.094
24	90768-195_S61_L001_R1_001	2329890	71484	190409	2067997	0.03	0.08	0.89	0.975	0.141	0.507
25	90768-196_S62_L001_R1_001	245486	28353	53081	164052	0.12	0.22	0.67	0.899	0.139	0.212
26	90768-200_S64_L001_R1_001	99173	31530	50244	17399	0.32	0.51	0.18	0.828	0.134	0.125
27	90768-204_S65_L001_R1_001	116434	30183	48756	37495	0.26	0.42	0.32	0.872	0.17	0.086
28	90768-206_S66_L001_R1_001	193395	42797	70359	80239	0.22	0.36	0.41	0.924	0.155	0.23
29	90768-207_S67_L001_R1_001	150434	40099	64301	46034	0.27	0.43	0.31	0.908	0.113	0.093
30	90768-216_S69_L001_R1_001	173660	34919	54117	84624	0.2	0.31	0.49	0.903	0.153	0.164
31	90768-217_S70_L001_R1_001	169756	40142	62015	67599	0.24	0.37	0.4	0.908	0.143	0.235
32	90768-218_S71_L001_R1_001	115815	40120	60198	15497	0.35	0.52	0.13	0.832	0.143	0.074
33	90768-219_S72_L001_R1_001	169710	42662	75590	51458	0.25	0.45	0.3	0.861	0.113	0.13
34	90768-220_S73_L001_R1_001	96630	25860	45158	25612	0.27	0.47	0.27	0.855	0.128	0.033
35	90768-221_S74_L001_R1_001	191460	29957	54731	106772	0.16	0.29	0.56	0.901	0.101	0.229
36	90768-223_S75_L001_R1_001	152760	45932	80405	26423	0.3	0.53	0.17	0.878	0.12	0.053
37	90768-234_S76_L001_R1_001	159285	42696	68464	48125	0.27	0.43	0.3	0.891	0.122	0.138
38	90768-235_S77_L001_R1_001	194623	36078	62013	96532	0.19	0.32	0.5	0.899	0.088	0.19
39	90768-238_S80_L001_R1_001	176550	51974	102359	22217	0.29	0.58	0.13	0.855	0.141	0.104
40	90768-240_S81_L001_R1_001	110266	30831	48231	31204	0.28	0.44	0.28	0.866	0.132	0.095
41	90768-258_S84_L001_R1_001	159712	39578	67598	52536	0.25	0.42	0.33	0.887	0.124	0.186
42	90768-265_S87_L001_R1_001	78742	24499	32455	21788	0.31	0.41	0.28	0.836	0.122	0.052
43	90768-283_S89_L001_R1_001	116709	34680	53640	28389	0.3	0.46	0.24	0.83	0.113	0.13
44	90768-296_S92_L001_R1_001	212601	58909	117830	35862	0.28	0.55	0.17	0.817	0.12	0.175
45	90768-308_S95_L001_R1_001	129100	36627	53080	39393	0.28	0.41	0.31	0.889	0.176	0.083
