Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763-237_S4_L001_R1_001	 66181	24946	 38868	 2367	0.38	0.59	0.04	0.532	0.103	0.000
90768-009_S7_L001_R1_001	 99195	39192	 58420	 1583	0.40	0.59	0.02	0.378	0.061	0.000
90768-014_S8_L001_R1_001	 97030	39438	 55933	 1659	0.41	0.58	0.02	0.399	0.078	0.054
90768-015_S9_L001_R1_001	109187	35112	 66109	 7966	0.32	0.61	0.07	0.763	0.116	0.018
90768-018_S10_L001_R1_001	 97178	36431	 58037	 2710	0.37	0.60	0.03	0.420	0.078	0.054
90768-027_S11_L001_R1_001	124137	41534	 68505	14098	0.33	0.55	0.11	0.788	0.145	0.130
90768-029_S12_L001_R1_001	118420	32704	 51497	34219	0.28	0.43	0.29	0.792	0.122	0.207
90768-034_S13_L001_R1_001	 72839	28769	 42532	 1538	0.39	0.58	0.02	0.332	0.065	0.000
90768-040_S14_L001_R1_001	111228	33713	 57705	19810	0.30	0.52	0.18	0.784	0.124	0.085
90768-042_S15_L001_R1_001	 87526	30450	 46018	11058	0.35	0.53	0.13	0.794	0.122	0.052
90768-054_S17_L001_R1_001	 83460	31863	 50737	  860	0.38	0.61	0.01	0.231	0.029	0.000
90768-056_S19_L001_R1_001	 87832	34411	 50737	 2684	0.39	0.58	0.03	0.458	0.074	0.000
90768-057_S20_L001_R1_001	100304	35831	 55132	 9341	0.36	0.55	0.09	0.748	0.128	0.082
90768-061_S21_L001_R1_001	105319	41064	 62122	 2133	0.39	0.59	0.02	0.439	0.076	0.000
90768-064_S22_L001_R1_001	103990	37903	 60656	 5431	0.36	0.58	0.05	0.674	0.107	0.059
90768-067_S23_L001_R1_001	 89980	32551	 50517	 6912	0.36	0.56	0.08	0.733	0.109	0.058
90768-076_S25_L001_R1_001	123631	43820	 76622	 3189	0.35	0.62	0.03	0.569	0.092	0.000
90768-077_S26_L001_R1_001	 85266	33677	 49393	 2196	0.39	0.58	0.03	0.378	0.063	0.033
90768-083_S28_L001_R1_001	 90044	30043	 58314	 1687	0.33	0.65	0.02	0.382	0.076	0.028
90768-084_S29_L001_R1_001	 91927	36639	 52207	 3081	0.40	0.57	0.03	0.569	0.109	0.000
90768-088_S30_L001_R1_001	 83009	31656	 49666	 1687	0.38	0.60	0.02	0.395	0.069	0.030
90768-090_S31_L001_R1_001	 78008	30567	 47214	  227	0.39	0.61	0.00	0.057	0.023	0.000
90768-104_S32_L001_R1_001	 83482	31901	 51063	  518	0.38	0.61	0.01	0.111	0.013	0.000
90768-107_S33_L001_R1_001	 95426	34220	 54956	 6250	0.36	0.58	0.07	0.689	0.095	0.044
90768-114_S35_L001_R1_001	 78147	30862	 45973	 1312	0.39	0.59	0.02	0.305	0.059	0.000
90768-121_S38_L001_R1_001	 74406	28095	 43197	 3114	0.38	0.58	0.04	0.536	0.080	0.000
90768-137_S42_L001_R1_001	 89089	30983	 50021	 8085	0.35	0.56	0.09	0.679	0.124	0.051
90768-138_S43_L001_R1_001	133739	43545	 76792	13402	0.33	0.57	0.10	0.723	0.134	0.062
90768-143_S44_L001_R1_001	131351	45394	 85817	  140	0.35	0.65	0.00	0.025	0.004	0.000
90768-152_S45_L001_R1_001	 67101	26723	 38700	 1678	0.40	0.58	0.03	0.347	0.063	0.033
90768-155_S46_L001_R1_001	 87047	34004	 52339	  704	0.39	0.60	0.01	0.170	0.036	0.000
90768-156_S47_L001_R1_001	100638	38223	 60861	 1554	0.38	0.60	0.02	0.374	0.063	0.033
90768-161_S49_L001_R1_001	104610	36238	 61545	 6827	0.35	0.59	0.07	0.735	0.113	0.000
90768-185_S55_L001_R1_001	 94199	36746	 56479	  974	0.39	0.60	0.01	0.242	0.053	0.000
90768-186_S56_L001_R1_001	107380	38524	 61051	 7805	0.36	0.57	0.07	0.739	0.105	0.120
90768-191_S59_L001_R1_001	 84219	32267	 47790	 4162	0.38	0.57	0.05	0.609	0.092	0.023
90768-194_S60_L001_R1_001	 97654	36779	 53765	 7110	0.38	0.55	0.07	0.704	0.179	0.200
90768-199_S63_L001_R1_001	 81156	32062	 46819	 2275	0.40	0.58	0.03	0.456	0.082	0.000
90768-211_S68_L001_R1_001	 87512	32187	 47155	 8170	0.37	0.54	0.09	0.765	0.111	0.038
90768-236_S78_L001_R1_001	 88712	30875	 45507	12330	0.35	0.51	0.14	0.788	0.103	0.082
90768-237_S79_L001_R1_001	 79539	31337	 42154	 6048	0.39	0.53	0.08	0.662	0.097	0.022
90768-244_S82_L001_R1_001	 99114	35421	 51145	12548	0.36	0.52	0.13	0.727	0.103	0.061
90768-245_S83_L001_R1_001	143320	42133	 70901	30286	0.29	0.49	0.21	0.790	0.128	0.098
90768-260_S85_L001_R1_001	 69286	26468	 37990	 4828	0.38	0.55	0.07	0.508	0.097	0.022
90768-263_S86_L001_R1_001	 72668	26109	 43622	 2937	0.36	0.60	0.04	0.498	0.074	0.029
90768-280_S88_L001_R1_001	 87009	35357	 49981	 1671	0.41	0.57	0.02	0.370	0.055	0.000
90768-284_S90_L001_R1_001	 88799	34356	 52753	 1690	0.39	0.59	0.02	0.330	0.059	0.036
90768-292_S91_L001_R1_001	155082	51771	100496	 2815	0.33	0.65	0.02	0.500	0.090	0.093
90768-299_S93_L001_R1_001	106048	37757	 58548	 9743	0.36	0.55	0.09	0.784	0.137	0.031
90768-301_S94_L001_R1_001	 82235	28751	 42505	10979	0.35	0.52	0.13	0.773	0.122	0.034
