Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
52507_184_S123_L001_R1_001	 53845	2656	 37768	13421	0.05	0.70	0.25	0.384	0.046	0.087
52507_212_S124_L001_R1_001	 63459	2258	 33712	27489	0.04	0.53	0.43	0.552	0.080	0.150
52507_240_S125_L001_R1_001	 44818	2175	 37294	 5349	0.05	0.83	0.12	0.232	0.024	0.167
52507_271_S126_L001_R1_001	 26620	 978	 16009	 9633	0.04	0.60	0.36	0.386	0.048	0.125
52507_351_S127_L001_R1_001	 30155	1307	 20405	 8443	0.04	0.68	0.28	0.362	0.046	0.043
52507_356_S128_L001_R1_001	 56143	2130	 33397	20616	0.04	0.59	0.37	0.504	0.062	0.194
52507_362_S129_L001_R1_001	 33799	1644	 28471	 3684	0.05	0.84	0.11	0.176	0.030	0.200
52507_385_S97_L001_R1_001	 49616	2393	 41437	 5786	0.05	0.84	0.12	0.180	0.024	0.250
52507_392_S98_L001_R1_001	 61261	3088	 49357	 8816	0.05	0.81	0.14	0.294	0.034	0.059
52507_397_S99_L001_R1_001	 48916	2226	 38535	 8155	0.05	0.79	0.17	0.312	0.050	0.200
52507_401_S100_L001_R1_001	137583	6941	128525	 2117	0.05	0.93	0.02	0.052	0.008	0.250
52507_406_S101_L001_R1_001	104898	5212	 86860	12826	0.05	0.83	0.12	0.318	0.046	0.130
52507_407_S102_L001_R1_001	 88132	4344	 78000	 5788	0.05	0.89	0.07	0.146	0.020	0.100
52507_411_S103_L001_R1_001	 45082	2228	 36256	 6598	0.05	0.80	0.15	0.250	0.040	0.150
52507_413_S104_L001_R1_001	 89061	4769	 69192	15100	0.05	0.78	0.17	0.322	0.046	0.174
52507_414_S105_L001_R1_001	 31527	1593	 28011	 1923	0.05	0.89	0.06	0.094	0.014	0.143
52507_415_S106_L001_R1_001	 36156	1864	 27254	 7038	0.05	0.75	0.19	0.324	0.068	0.029
52507_418_S107_L001_R1_001	 76974	4234	 55745	16995	0.06	0.72	0.22	0.442	0.072	0.028
52507_422_S108_L001_R1_001	 85445	4404	 75104	 5937	0.05	0.88	0.07	0.182	0.036	0.056
52507_425_S109_L001_R1_001	 44645	2371	 37754	 4520	0.05	0.85	0.10	0.196	0.036	0.111
52507_429_S110_L001_R1_001	 18191	 947	 15291	 1953	0.05	0.84	0.11	0.148	0.028	0.071
52507_431_S111_L001_R1_001	 60531	3218	 47313	10000	0.05	0.78	0.17	0.336	0.048	0.083
52507_440_S112_L001_R1_001	 20926	1065	 16466	 3395	0.05	0.79	0.16	0.198	0.030	0.000
52507_442_S113_L001_R1_001	 45523	2245	 36164	 7114	0.05	0.79	0.16	0.278	0.038	0.158
52507_445_S114_L001_R1_001	 37353	1821	 27714	 7818	0.05	0.74	0.21	0.336	0.054	0.074
52507_465_S115_L001_R1_001	 65332	3053	 45930	16349	0.05	0.70	0.25	0.384	0.070	0.086
52507_467_S116_L001_R1_001	 57232	2674	 45114	 9444	0.05	0.79	0.17	0.326	0.052	0.115
52507_472_S117_L001_R1_001	 48392	2546	 41651	 4195	0.05	0.86	0.09	0.158	0.034	0.059
52507_473_S118_L001_R1_001	 49096	2233	 36073	10790	0.05	0.73	0.22	0.340	0.054	0.074
52507_477_S119_L001_R1_001	 59300	3125	 51143	 5032	0.05	0.86	0.08	0.194	0.038	0.158
52507_479_S120_L001_R1_001	 24026	1190	 16905	 5931	0.05	0.70	0.25	0.300	0.046	0.043
52507_484_S121_L001_R1_001	 66335	3214	 50160	12961	0.05	0.76	0.20	0.334	0.054	0.111
52507_485_S122_L001_R1_001	 67861	3683	 49407	14771	0.05	0.73	0.22	0.446	0.062	0.065
52508_002_S130_L001_R1_001	 39004	1989	 31880	 5135	0.05	0.82	0.13	0.256	0.040	0.050
52508_004_S131_L001_R1_001	 79778	4088	 71509	 4181	0.05	0.90	0.05	0.106	0.018	0.222
52508_011_S132_L001_R1_001	 25898	 905	 12930	12063	0.03	0.50	0.47	0.458	0.056	0.071
52508_014_S133_L001_R1_001	 40980	2115	 36538	 2327	0.05	0.89	0.06	0.106	0.012	0.000
52508_017_S134_L001_R1_001	 34121	1140	 19568	13413	0.03	0.57	0.39	0.416	0.054	0.185
52508_019_S135_L001_R1_001	 51684	2445	 45125	 4114	0.05	0.87	0.08	0.162	0.032	0.125
52508_022_S136_L001_R1_001	 45287	2211	 41259	 1817	0.05	0.91	0.04	0.050	0.012	0.000
52508_024_S137_L001_R1_001	 47907	2411	 41516	 3980	0.05	0.87	0.08	0.134	0.016	0.125
52508_025_S138_L001_R1_001	 35374	1809	 28915	 4650	0.05	0.82	0.13	0.228	0.046	0.130
52508_027_S139_L001_R1_001	 43711	2219	 34604	 6888	0.05	0.79	0.16	0.294	0.050	0.000
52508_031_S140_L001_R1_001	 45540	2368	 37644	 5528	0.05	0.83	0.12	0.240	0.030	0.000
52508_033_S141_L001_R1_001	117689	5989	 97361	14339	0.05	0.83	0.12	0.276	0.044	0.182
52508_036_S142_L001_R1_001	 39228	1770	 27980	 9478	0.05	0.71	0.24	0.338	0.066	0.182
52508_039_S143_L001_R1_001	 61073	2894	 52396	 5783	0.05	0.86	0.09	0.140	0.018	0.111
52508_040_S144_L001_R1_001	 49347	2484	 41829	 5034	0.05	0.85	0.10	0.206	0.032	0.062
52508_043_S145_L001_R1_001	 40160	2070	 34094	 3996	0.05	0.85	0.10	0.212	0.044	0.136
52508_046_S146_L001_R1_001	 40272	2136	 33404	 4732	0.05	0.83	0.12	0.246	0.038	0.053
52508_047_S147_L001_R1_001	 39164	2068	 33935	 3161	0.05	0.87	0.08	0.166	0.026	0.000
52508_052_S148_L001_R1_001	 79029	4197	 59971	14861	0.05	0.76	0.19	0.434	0.062	0.097
52508_056_S149_L001_R1_001	 36608	1819	 32239	 2550	0.05	0.88	0.07	0.162	0.030	0.200
52508_062_S150_L001_R1_001	 54569	2827	 46883	 4859	0.05	0.86	0.09	0.190	0.028	0.000
52508_064_S151_L001_R1_001	 70515	3491	 63359	 3665	0.05	0.90	0.05	0.130	0.012	0.333
52508_065_S152_L001_R1_001	 43389	2302	 35223	 5864	0.05	0.81	0.14	0.272	0.044	0.000
52508_069_S153_L001_R1_001	 63861	3185	 49170	11506	0.05	0.77	0.18	0.334	0.056	0.071
52508_070_S154_L001_R1_001	 38278	2005	 32229	 4044	0.05	0.84	0.11	0.196	0.034	0.235
52508_078_S155_L001_R1_001	104710	5200	 88903	10607	0.05	0.85	0.10	0.268	0.036	0.056
52508_079_S156_L001_R1_001	 41355	1727	 28737	10891	0.04	0.69	0.26	0.394	0.042	0.048
52508_086_S157_L001_R1_001	 69742	3543	 63141	 3058	0.05	0.91	0.04	0.072	0.006	0.000
52508_087_S158_L001_R1_001	 37763	1871	 30711	 5181	0.05	0.81	0.14	0.248	0.042	0.095
52508_088_S159_L001_R1_001	 60410	2511	 41111	16788	0.04	0.68	0.28	0.390	0.074	0.081
52508_090_S160_L001_R1_001	 38732	1799	 28590	 8343	0.05	0.74	0.22	0.316	0.050	0.120
52508_091_S161_L001_R1_001	 46550	2263	 43144	 1143	0.05	0.93	0.02	0.034	0.004	0.500
52508_101_S162_L001_R1_001	 67132	3412	 60927	 2793	0.05	0.91	0.04	0.066	0.006	0.000
52508_105_S163_L001_R1_001	 46532	2328	 33967	10237	0.05	0.73	0.22	0.368	0.062	0.161
52508_106_S164_L001_R1_001	 45553	2282	 36041	 7230	0.05	0.79	0.16	0.314	0.054	0.111
52508_111_S165_L001_R1_001	 61933	3167	 55033	 3733	0.05	0.89	0.06	0.104	0.016	0.000
52508_114_S166_L001_R1_001	 65858	3455	 60473	 1930	0.05	0.92	0.03	0.050	0.010	0.200
52508_115_S167_L001_R1_001	 61960	3300	 53748	 4912	0.05	0.87	0.08	0.186	0.024	0.083
52508_117_S168_L001_R1_001	 29221	1449	 26855	  917	0.05	0.92	0.03	0.028	0.002	1.000
52508_119_S169_L001_R1_001	 56731	2820	 46612	 7299	0.05	0.82	0.13	0.286	0.054	0.037
52508_127_S170_L001_R1_001	 42783	1698	 27424	13661	0.04	0.64	0.32	0.440	0.076	0.053
52508_129_S171_L001_R1_001	 39929	1934	 34147	 3848	0.05	0.86	0.10	0.164	0.024	0.083
52508_131_S172_L001_R1_001	 51917	2808	 41905	 7204	0.05	0.81	0.14	0.294	0.050	0.120
52508_134_S173_L001_R1_001	 48042	2584	 41271	 4187	0.05	0.86	0.09	0.196	0.024	0.000
52508_135_S174_L001_R1_001	 35716	1790	 32873	 1053	0.05	0.92	0.03	0.034	0.006	0.333
52508_139_S175_L001_R1_001	 42924	2239	 35903	 4782	0.05	0.84	0.11	0.242	0.030	0.000
52508_143_S176_L001_R1_001	 36631	1749	 29186	 5696	0.05	0.80	0.16	0.300	0.054	0.111
52508_145_S177_L001_R1_001	187336	9569	126169	51598	0.05	0.67	0.28	0.646	0.106	0.226
52508_149_S178_L001_R1_001	 17563	 762	 11573	 5228	0.04	0.66	0.30	0.320	0.050	0.040
52508_156_S179_L001_R1_001	 66122	3593	 50006	12523	0.05	0.76	0.19	0.400	0.076	0.105
52508_157_S180_L001_R1_001	194102	9442	149556	35104	0.05	0.77	0.18	0.436	0.052	0.192
52508_158_S181_L001_R1_001	 71327	3633	 60740	 6954	0.05	0.85	0.10	0.212	0.030	0.200
52508_167_S182_L001_R1_001	 57341	2612	 51882	 2847	0.05	0.90	0.05	0.022	0.002	0.000
52508_168_S183_L001_R1_001	 48727	2384	 44956	 1387	0.05	0.92	0.03	0.052	0.010	0.200
52508_173_S184_L001_R1_001	 64079	3670	 60386	   23	0.06	0.94	0.00	0.000	0.000	  NaN
52508_174_S185_L001_R1_001	 49225	2190	 35163	11872	0.04	0.71	0.24	0.374	0.048	0.250
52508_176_S186_L001_R1_001	 40378	2101	 30971	 7306	0.05	0.77	0.18	0.302	0.042	0.095
52508_179_S187_L001_R1_001	 59969	3047	 52167	 4755	0.05	0.87	0.08	0.202	0.026	0.231
52508_182_S188_L001_R1_001	121011	6076	106130	 8805	0.05	0.88	0.07	0.200	0.042	0.095
52508_183_S189_L001_R1_001	 45604	2382	 35184	 8038	0.05	0.77	0.18	0.320	0.056	0.107
52508_189_S190_L001_R1_001	 73839	3965	 56526	13348	0.05	0.77	0.18	0.396	0.056	0.143
52508_201_S191_L001_R1_001	 95351	4859	 87033	 3459	0.05	0.91	0.04	0.072	0.010	0.600
