sample	GenotypeRate	Heterozygosity	conScore
1	90763_231A_S1_L001_R1_001	0.708	0.13	0.161
2	90763_231B_S33_L001_R1_001	0.487	0.078	0.135
3	90763_231C_S65_L001_R1_001	0.557	0.103	0.082
4	90763_232A_S2_L001_R1_001	0.408	0.057	0.148
5	90763_232B_S34_L001_R1_001	0.319	0.042	0.05
6	90763_232C_S66_L001_R1_001	0.355	0.053	0.08
7	90763_236A_S3_L001_R1_001	0.609	0.09	0.186
8	90763_236B_S35_L001_R1_001	0.887	0.132	0.349
9	90763_236C_S67_L001_R1_001	0.645	0.099	0.191
10	90763_237A_S4_L001_R1_001	0.37	0.078	0.027
11	90763_237B_S36_L001_R1_001	0.153	0.029	0
12	90763_237C_S68_L001_R1_001	0.189	0.04	0.211
13	90763_238A_S5_L001_R1_001	0.565	0.063	0.067
14	90763_238B_S37_L001_R1_001	0.393	0.057	0.185
15	90763_238C_S69_L001_R1_001	0.349	0.053	0.04
16	90768_005A_S6_L001_R1_001	0.477	0.076	0.194
17	90768_005B_S38_L001_R1_001	0.353	0.057	0.185
18	90768_005C_S70_L001_R1_001	0.412	0.063	0.133
19	90768_009A_S7_L001_R1_001	0.032	0.006	0
20	90768_009B_S39_L001_R1_001	0.05	0.008	0
21	90768_009C_S71_L001_R1_001	0.084	0.013	0.333
22	90768_014A_S8_L001_R1_001	0.042	0.006	0.333
23	90768_014B_S40_L001_R1_001	0.074	0.013	0
24	90768_014C_S72_L001_R1_001	0.038	0.008	0
25	90768_015A_S9_L001_R1_001	0.29	0.055	0
26	90768_015B_S41_L001_R1_001	0.212	0.04	0.053
27	90768_015C_S73_L001_R1_001	0.244	0.055	0.038
28	90768_018A_S10_L001_R1_001	0.158	0.023	0.273
29	90768_018B_S42_L001_R1_001	0.103	0.019	0.222
30	90768_018C_S74_L001_R1_001	0.084	0.017	0.125
31	90768_027A_S11_L001_R1_001	0.374	0.057	0.074
32	90768_027B_S43_L001_R1_001	0.176	0.036	0
33	90768_027C_S75_L001_R1_001	0.286	0.042	0.1
34	90768_029A_S12_L001_R1_001	0.328	0.063	0.133
35	90768_029B_S44_L001_R1_001	0.197	0.038	0.278
36	90768_029C_S76_L001_R1_001	0.3	0.053	0.16
37	90768_034A_S13_L001_R1_001	0.185	0.027	0.154
38	90768_034B_S45_L001_R1_001	0.055	0.015	0
39	90768_034C_S77_L001_R1_001	0.076	0.013	0
40	90768_040A_S14_L001_R1_001	0.254	0.053	0.08
41	90768_040B_S46_L001_R1_001	0.317	0.05	0.042
42	90768_040C_S78_L001_R1_001	0.233	0.032	0.067
43	90768_042A_S15_L001_R1_001	0.305	0.046	0.045
44	90768_042B_S47_L001_R1_001	0.244	0.025	0.167
45	90768_042C_S79_L001_R1_001	0.244	0.029	0.214
46	90768_044A_S16_L001_R1_001	0.42	0.069	0.182
47	90768_044B_S48_L001_R1_001	0.399	0.055	0.115
48	90768_044C_S80_L001_R1_001	0.269	0.036	0.059
49	90768_054A_S17_L001_R1_001	0.092	0.017	0
50	90768_054B_S49_L001_R1_001	0.023	0	NA
51	90768_054C_S81_L001_R1_001	0.053	0.004	0
52	90768_055A_S18_L001_R1_001	0.55	0.082	0.128
53	90768_055B_S50_L001_R1_001	0.216	0.023	0.091
54	90768_055C_S82_L001_R1_001	0.393	0.069	0.03
55	90768_056A_S19_L001_R1_001	0.158	0.023	0
56	90768_056B_S51_L001_R1_001	0.048	0.002	0
57	90768_056C_S83_L001_R1_001	0.109	0.021	0
58	90768_057A_S20_L001_R1_001	0.391	0.069	0.121
59	90768_057B_S52_L001_R1_001	0.13	0.025	0.083
60	90768_057C_S84_L001_R1_001	0.292	0.048	0.087
61	90768_061A_S21_L001_R1_001	0.107	0.021	0.1
62	90768_061B_S53_L001_R1_001	0.044	0.011	0
63	90768_061C_S85_L001_R1_001	0.059	0.015	0
64	90768_064A_S22_L001_R1_001	0.204	0.023	0
65	90768_064B_S54_L001_R1_001	0.095	0.011	0
66	90768_064C_S86_L001_R1_001	0.244	0.019	0
67	90768_067A_S23_L001_R1_001	0.34	0.055	0.077
68	90768_067B_S55_L001_R1_001	0.13	0.017	0.125
69	90768_067C_S87_L001_R1_001	0.147	0.023	0.091
70	90768_075A_S24_L001_R1_001	0.458	0.059	0.036
71	90768_075B_S56_L001_R1_001	0	0	NA
72	90768_075C_S88_L001_R1_001	0.059	0.006	0
73	90768_076A_S25_L001_R1_001	0.191	0.038	0.111
74	90768_076B_S57_L001_R1_001	0.099	0.019	0
75	90768_076C_S89_L001_R1_001	0.101	0.019	0.111
76	90768_077A_S26_L001_R1_001	0.095	0.029	0
77	90768_077B_S58_L001_R1_001	0.088	0.019	0
78	90768_077C_S90_L001_R1_001	0.13	0.023	0
79	90768_078A_S27_L001_R1_001	0.319	0.053	0.08
80	90768_078B_S59_L001_R1_001	0.256	0.042	0.1
81	90768_078C_S91_L001_R1_001	0.464	0.074	0.029
82	90768_083A_S28_L001_R1_001	0.067	0.017	0
83	90768_083B_S60_L001_R1_001	0.036	0.006	0
84	90768_083C_S92_L001_R1_001	0.12	0.017	0.125
85	90768_084A_S29_L001_R1_001	0	0	NA
86	90768_084B_S61_L001_R1_001	0.099	0.015	0.143
87	90768_084C_S93_L001_R1_001	0.204	0.038	0.111
88	90768_088A_S30_L001_R1_001	0.032	0.006	0
89	90768_088B_S62_L001_R1_001	0.04	0.011	0.2
90	90768_088C_S94_L001_R1_001	0.145	0.027	0.308
91	90768_090A_S31_L001_R1_001	0	0	NA
92	90768_090B_S63_L001_R1_001	0.017	0.002	0
93	90768_090C_S95_L001_R1_001	0.04	0.008	0
94	90768_104A_S32_L001_R1_001	0.015	0.002	0
95	90768_104B_S64_L001_R1_001	0.015	0.002	0
96	90768_104C_S96_L001_R1_001	0.004	0.002	0
