Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
1	CAT_52507_184_S27_L001_R1_001	224890	35034	102577	87279	0.16	0.46	0.39	0.786	0.104	0.173
2	CAT_52507_212_S28_L001_R1_001	872654	46378	127194	699082	0.05	0.15	0.8	0.956	0.152	0.289
3	CAT_52507_271_S30_L001_R1_001	428340	39207	102048	287085	0.09	0.24	0.67	0.862	0.126	0.27
4	CAT_52507_351_S31_L001_R1_001	174648	30314	75751	68583	0.17	0.43	0.39	0.862	0.114	0.123
5	CAT_52507_356_S32_L001_R1_001	327918	26036	81083	220799	0.08	0.25	0.67	0.91	0.132	0.348
6	CAT_52507_415_S10_L001_R1_001	144904	37149	79959	27796	0.26	0.55	0.19	0.814	0.122	0.082
7	CAT_52507_442_S17_L001_R1_001	186399	32199	122244	31956	0.17	0.66	0.17	0.754	0.096	0.083
8	CAT_52507_445_S18_L001_R1_001	114301	18645	57425	38231	0.16	0.5	0.33	0.788	0.108	0.13
9	CAT_52507_465_S19_L001_R1_001	179719	30607	89301	59811	0.17	0.5	0.33	0.736	0.128	0.172
10	CAT_52507_473_S22_L001_R1_001	215928	31890	111893	72145	0.15	0.52	0.33	0.734	0.104	0.173
11	CAT_52507_484_S25_L001_R1_001	176419	31700	104516	40203	0.18	0.59	0.23	0.798	0.13	0.123
12	CAT_52507_485_S26_L001_R1_001	161437	32828	90679	37930	0.2	0.56	0.23	0.854	0.106	0.151
13	CAT_52508_011_S36_L001_R1_001	848483	43503	80681	724299	0.05	0.1	0.85	0.952	0.148	0.311
14	CAT_52508_017_S38_L001_R1_001	406870	35873	140729	230268	0.09	0.35	0.57	0.83	0.122	0.197
15	CAT_52508_036_S46_L001_R1_001	165140	28651	70099	66390	0.17	0.42	0.4	0.74	0.152	0.184
16	CAT_52508_052_S52_L001_R1_001	205964	33626	138783	33555	0.16	0.67	0.16	0.796	0.13	0.092
17	CAT_52508_065_S56_L001_R1_001	132425	25261	90862	16302	0.19	0.69	0.12	0.75	0.108	0.093
18	CAT_52508_069_S57_L001_R1_001	166082	31930	104015	30137	0.19	0.63	0.18	0.79	0.122	0.066
19	CAT_52508_079_S60_L001_R1_001	269784	32859	126681	110244	0.12	0.47	0.41	0.842	0.1	0.18
20	CAT_52508_088_S63_L001_R1_001	239057	29121	78925	131011	0.12	0.33	0.55	0.808	0.136	0.25
21	CAT_52508_090_S64_L001_R1_001	144427	26160	77929	40338	0.18	0.54	0.28	0.792	0.132	0.152
22	CAT_52508_105_S67_L001_R1_001	126998	25121	67987	33890	0.2	0.54	0.27	0.784	0.11	0.091
23	CAT_52508_106_S68_L001_R1_001	115419	26834	70657	17928	0.23	0.61	0.16	0.752	0.114	0.07
24	CAT_52508_127_S74_L001_R1_001	477017	39979	85153	351885	0.08	0.18	0.74	0.852	0.122	0.328
25	CAT_52508_149_S82_L001_R1_001	194372	31110	60217	103045	0.16	0.31	0.53	0.83	0.132	0.227
26	CAT_52508_156_S83_L001_R1_001	165835	33435	104294	28106	0.2	0.63	0.17	0.79	0.136	0.088
27	CAT_52508_157_S84_L001_R1_001	296726	32289	196096	68341	0.11	0.66	0.23	0.784	0.12	0.15
28	CAT_52508_174_S89_L001_R1_001	275212	39338	110559	125315	0.14	0.4	0.46	0.886	0.122	0.328
