Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y	GenotypeRate	Heterozygosity	conScore
90763_232_S2_L001_R1_001	 77776	17191	50857	 9728	0.22	0.65	0.13	0.792	0.122	0.052	0.792	0.122	0.052	0.792	0.122	0.052
90763_237_S4_L001_R1_001	 60627	16822	43569	  236	0.28	0.72	0.00	0.029	0.013	0.000	0.029	0.013	0.000	0.029	0.013	0.000
90763_238_S5_L001_R1_001	 74373	18509	53645	 2219	0.25	0.72	0.03	0.550	0.084	0.000	0.550	0.084	0.000	0.550	0.084	0.000
90768_005_S6_L001_R1_001	 61849	13570	36203	12076	0.22	0.59	0.20	0.763	0.111	0.094	0.763	0.111	0.094	0.763	0.111	0.094
90768_009_S7_L001_R1_001	   127	   32	   94	    1	0.25	0.74	0.01	0.000	0.000	   NA	0.000	0.000	   NA	0.000	0.000	  NaN
90768_014_S8_L001_R1_001	 97064	23117	73515	  432	0.24	0.76	0.00	0.092	0.023	0.000	0.092	0.023	0.000	0.092	0.023	0.000
90768_015_S9_L001_R1_001	 66440	17659	47487	 1294	0.27	0.71	0.02	0.336	0.088	0.048	0.336	0.088	0.048	0.336	0.088	0.048
90768_018_S10_L001_R1_001	 69414	18611	50554	  249	0.27	0.73	0.00	0.044	0.011	0.000	0.044	0.011	0.000	0.044	0.011	0.000
90768_027_S11_L001_R1_001	 62459	16516	44906	 1037	0.26	0.72	0.02	0.273	0.069	0.091	0.273	0.069	0.091	0.273	0.069	0.091
90768_029_S12_L001_R1_001	 37675	 9183	26874	 1618	0.24	0.71	0.04	0.307	0.055	0.000	0.307	0.055	0.000	0.307	0.055	0.000
90768_034_S13_L001_R1_001	 63932	17189	46576	  167	0.27	0.73	0.00	0.017	0.000	   NA	0.017	0.000	   NA	0.017	0.000	  NaN
