sample	GenotypeRate	Heterozygosity	conScore
1	90763_231_S1_L001_R1_001	0.924	0.149	0.296
2	90763_232_S2_L001_R1_001	0.792	0.122	0.052
3	90763_236_S3_L001_R1_001	0.968	0.153	0.411
4	90763_237_S4_L001_R1_001	0.029	0.013	0
5	90763_238_S5_L001_R1_001	0.55	0.084	0
6	90768_005_S6_L001_R1_001	0.763	0.111	0.094
7	90768_009_S7_L001_R1_001	0	0	NA
8	90768_014_S8_L001_R1_001	0.092	0.023	0
9	90768_015_S9_L001_R1_001	0.336	0.088	0.048
10	90768_018_S10_L001_R1_001	0.044	0.011	0
11	90768_027_S11_L001_R1_001	0.273	0.069	0.091
12	90768_029_S12_L001_R1_001	0.307	0.055	0
13	90768_034_S13_L001_R1_001	0.017	0	NA
14	90768_040_S14_L001_R1_001	0.334	0.055	0.038
15	90768_042_S15_L001_R1_001	0.357	0.059	0.036
16	90768_044_S16_L001_R1_001	0.756	0.118	0.036
17	90768_054_S17_L001_R1_001	0.141	0.032	0
18	90768_055_S18_L001_R1_001	0.658	0.092	0
19	90768_056_S19_L001_R1_001	0.023	0.002	0
20	90768_057_S20_L001_R1_001	0.221	0.048	0
21	90768_061_S21_L001_R1_001	0.036	0.006	0
22	90768_064_S22_L001_R1_001	0.09	0.013	0
23	90768_067_S23_L001_R1_001	0.191	0.046	0
24	90768_075_S24_L001_R1_001	0.595	0.099	0
25	90768_076_S25_L001_R1_001	0.218	0.063	0.033
26	90768_077_S26_L001_R1_001	0.05	0.015	0
27	90768_078_S27_L001_R1_001	0.454	0.08	0
28	90768_083_S28_L001_R1_001	0.025	0.006	0
29	90768_084_S29_L001_R1_001	0.082	0.021	0
30	90768_088_S30_L001_R1_001	0.046	0.015	0
31	90768_090_S31_L001_R1_001	0.002	0.002	0
32	90768_104_S32_L001_R1_001	0.015	0.004	0
33	90768_107_S33_L001_R1_001	0.214	0.057	0
34	90768_109_S34_L001_R1_001	0.664	0.103	0.061
35	90768_114_S35_L001_R1_001	0.023	0.008	0
36	90768_115_S36_L001_R1_001	0.429	0.055	0
37	90768_120_S37_L001_R1_001	0.534	0.092	0
38	90768_121_S38_L001_R1_001	0.05	0.011	0
39	90768_127_S39_L001_R1_001	0.603	0.09	0.023
40	90768_130_S40_L001_R1_001	0.506	0.076	0
41	90768_133_S41_L001_R1_001	0.725	0.116	0.073
42	90768_137_S42_L001_R1_001	0.12	0.025	0
43	90768_138_S43_L001_R1_001	0.279	0.061	0.034
44	90768_143_S44_L001_R1_001	0	0	NA
45	90768_152_S45_L001_R1_001	0.025	0.013	0
46	90768_155_S46_L001_R1_001	0.029	0.019	0
47	90768_156_S47_L001_R1_001	0.036	0.013	0
48	90768_160_S48_L001_R1_001	0.387	0.067	0
49	90768_161_S49_L001_R1_001	0.479	0.134	0
50	90768_165_S50_L001_R1_001	0.763	0.116	0.018
51	90768_178_S51_L001_R1_001	0.782	0.111	0.057
52	90768_179_S52_L001_R1_001	0.863	0.109	0.096
53	90768_183_S53_L001_R1_001	0.519	0.076	0
54	90768_184_S54_L001_R1_001	0.227	0.053	0
55	90768_185_S55_L001_R1_001	0.063	0.021	0
56	90768_186_S56_L001_R1_001	0.166	0.038	0
57	90768_187_S57_L001_R1_001	0.569	0.153	0.027
58	90768_189_S58_L001_R1_001	0.447	0.076	0
59	90768_191_S59_L001_R1_001	0.088	0.021	0
60	90768_194_S60_L001_R1_001	0.17	0.029	0
61	90768_195_S61_L001_R1_001	0.962	0.139	0.318
62	90768_196_S62_L001_R1_001	0.891	0.132	0.079
63	90768_199_S63_L001_R1_001	0.027	0.004	0
64	90768_200_S64_L001_R1_001	0.393	0.095	0.022
65	90768_204_S65_L001_R1_001	0.679	0.137	0
66	90768_206_S66_L001_R1_001	0.817	0.141	0.045
67	90768_207_S67_L001_R1_001	0.729	0.088	0
68	90768_211_S68_L001_R1_001	0.244	0.048	0
69	90768_216_S69_L001_R1_001	0.786	0.12	0
70	90768_217_S70_L001_R1_001	0.723	0.109	0.058
71	90768_218_S71_L001_R1_001	0.334	0.061	0
72	90768_219_S72_L001_R1_001	0.502	0.065	0
73	90768_220_S73_L001_R1_001	0.557	0.118	0.036
74	90768_221_S74_L001_R1_001	0.853	0.095	0.089
75	90768_223_S75_L001_R1_001	0.485	0.065	0
76	90768_234_S76_L001_R1_001	0.782	0.097	0.022
77	90768_235_S77_L001_R1_001	0.79	0.063	0.067
78	90768_236_S78_L001_R1_001	0.366	0.059	0
79	90768_237_S79_L001_R1_001	0.139	0.019	0
80	90768_238_S80_L001_R1_001	0.435	0.092	0
81	90768_240_S81_L001_R1_001	0.628	0.116	0.036
82	90768_244_S82_L001_R1_001	0.25	0.032	0.067
83	90768_245_S83_L001_R1_001	0.366	0.048	0
84	90768_258_S84_L001_R1_001	0.664	0.088	0
85	90768_260_S85_L001_R1_001	0.109	0.027	0
86	90768_263_S86_L001_R1_001	0.044	0.008	0
87	90768_265_S87_L001_R1_001	0.578	0.09	0
88	90768_280_S88_L001_R1_001	0.029	0.004	0
89	90768_283_S89_L001_R1_001	0.672	0.097	0
90	90768_284_S90_L001_R1_001	0.04	0.008	0
91	90768_292_S91_L001_R1_001	0.017	0.011	0
92	90768_296_S92_L001_R1_001	0.298	0.05	0
93	90768_299_S93_L001_R1_001	0.328	0.076	0
94	90768_301_S94_L001_R1_001	0.422	0.078	0
95	90768_308_S95_L001_R1_001	0.721	0.149	0.014
