sample	GenotypeRate	Heterozygosity	conScore
1	90763_231C_S65_L001_R1_001	0.557	0.103	0.082
2	90763_232C_S66_L001_R1_001	0.355	0.053	0.08
3	90763_236C_S67_L001_R1_001	0.645	0.099	0.191
4	90763_237C_S68_L001_R1_001	0.189	0.04	0.211
5	90763_238C_S69_L001_R1_001	0.349	0.053	0.04
6	90768_005C_S70_L001_R1_001	0.412	0.063	0.133
7	90768_009C_S71_L001_R1_001	0.084	0.013	0.333
8	90768_014C_S72_L001_R1_001	0.038	0.008	0
9	90768_015C_S73_L001_R1_001	0.244	0.055	0.038
10	90768_018C_S74_L001_R1_001	0.084	0.017	0.125
11	90768_027C_S75_L001_R1_001	0.286	0.042	0.1
12	90768_029C_S76_L001_R1_001	0.3	0.053	0.16
13	90768_034C_S77_L001_R1_001	0.076	0.013	0
14	90768_040C_S78_L001_R1_001	0.233	0.032	0.067
15	90768_042C_S79_L001_R1_001	0.244	0.029	0.214
16	90768_044C_S80_L001_R1_001	0.269	0.036	0.059
17	90768_054C_S81_L001_R1_001	0.053	0.004	0
18	90768_055C_S82_L001_R1_001	0.393	0.069	0.03
19	90768_056C_S83_L001_R1_001	0.109	0.021	0
20	90768_057C_S84_L001_R1_001	0.292	0.048	0.087
21	90768_061C_S85_L001_R1_001	0.059	0.015	0
22	90768_064C_S86_L001_R1_001	0.244	0.019	0
23	90768_067C_S87_L001_R1_001	0.147	0.023	0.091
24	90768_075C_S88_L001_R1_001	0.059	0.006	0
25	90768_076C_S89_L001_R1_001	0.101	0.019	0.111
26	90768_077C_S90_L001_R1_001	0.13	0.023	0
27	90768_078C_S91_L001_R1_001	0.464	0.074	0.029
28	90768_083C_S92_L001_R1_001	0.12	0.017	0.125
29	90768_084C_S93_L001_R1_001	0.204	0.038	0.111
30	90768_088C_S94_L001_R1_001	0.145	0.027	0.308
31	90768_090C_S95_L001_R1_001	0.04	0.008	0
32	90768_104C_S96_L001_R1_001	0.004	0.002	0
