Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90763_231B_S33_L001_R1_001	93573	20224	58097	15252	0.22	0.62	0.16	0.586	0.092	0.068
90763_232B_S34_L001_R1_001	48389	12700	32434	 3255	0.26	0.67	0.07	0.471	0.069	0.030
90763_237B_S36_L001_R1_001	42262	13335	28813	  114	0.32	0.68	0.00	0.004	0.000	  NaN
90763_238B_S37_L001_R1_001	46630	14579	31499	  552	0.31	0.68	0.01	0.155	0.025	0.000
90768_005B_S38_L001_R1_001	48223	13028	32382	 2813	0.27	0.67	0.06	0.380	0.063	0.000
90768_009B_S39_L001_R1_001	54116	13143	40926	   47	0.24	0.76	0.00	0.000	0.000	  NaN
90768_014B_S40_L001_R1_001	75755	19858	55880	   17	0.26	0.74	0.00	0.004	0.000	  NaN
90768_015B_S41_L001_R1_001	58480	15108	43195	  177	0.26	0.74	0.00	0.027	0.008	0.000
90768_018B_S42_L001_R1_001	25165	 9829	15316	   20	0.39	0.61	0.00	0.000	0.000	  NaN
90768_027B_S43_L001_R1_001	29577	11623	17890	   64	0.39	0.60	0.00	0.008	0.004	0.000
90768_029B_S44_L001_R1_001	28109	11192	16813	  104	0.40	0.60	0.00	0.019	0.008	0.000
90768_034B_S45_L001_R1_001	27399	10459	16925	   15	0.38	0.62	0.00	0.002	0.000	  NaN
90768_040B_S46_L001_R1_001	30280	11512	18693	   75	0.38	0.62	0.00	0.006	0.002	0.000
90768_042B_S47_L001_R1_001	26726	10372	16277	   77	0.39	0.61	0.00	0.011	0.006	0.000
90768_044B_S48_L001_R1_001	43335	11909	30288	 1138	0.27	0.70	0.03	0.237	0.040	0.000
90768_054B_S49_L001_R1_001	40886	12077	28783	   26	0.30	0.70	0.00	0.002	0.000	  NaN
90768_055B_S50_L001_R1_001	26451	10275	15941	  235	0.39	0.60	0.01	0.046	0.017	0.000
90768_056B_S51_L001_R1_001	24929	 9724	15187	   18	0.39	0.61	0.00	0.002	0.000	  NaN
90768_057B_S52_L001_R1_001	29579	11356	18162	   61	0.38	0.61	0.00	0.008	0.004	0.000
90768_061B_S53_L001_R1_001	29020	10940	18061	   19	0.38	0.62	0.00	0.000	0.000	  NaN
90768_064B_S54_L001_R1_001	32882	12731	20123	   28	0.39	0.61	0.00	0.002	0.000	  NaN
90768_067B_S55_L001_R1_001	29073	11373	17668	   32	0.39	0.61	0.00	0.004	0.002	0.000
90768_075B_S56_L001_R1_001	29341	 7638	21562	  141	0.26	0.73	0.00	0.032	0.006	0.000
90768_076B_S57_L001_R1_001	42405	12405	29946	   54	0.29	0.71	0.00	0.004	0.004	0.000
90768_077B_S58_L001_R1_001	24436	 9400	15017	   19	0.38	0.61	0.00	0.002	0.000	  NaN
90768_078B_S59_L001_R1_001	29303	11395	17821	   87	0.39	0.61	0.00	0.008	0.002	0.000
90768_083B_S60_L001_R1_001	29496	11568	17920	    8	0.39	0.61	0.00	0.000	0.000	  NaN
90768_084B_S61_L001_R1_001	27326	10526	16780	   20	0.39	0.61	0.00	0.000	0.000	  NaN
90768_088B_S62_L001_R1_001	23375	 9015	14338	   22	0.39	0.61	0.00	0.000	0.000	  NaN
90768_090B_S63_L001_R1_001	23698	 9672	14022	    4	0.41	0.59	0.00	0.000	0.000	  NaN
90768_104B_S64_L001_R1_001	34713	10268	24405	   40	0.30	0.70	0.00	0.000	0.000	  NaN
