sample	GenotypeRate	Heterozygosity	conScore
1	90763_231C_S65_L001_R1_001	0.616	0.103	0.041
2	90763_232C_S66_L001_R1_001	0.155	0.017	0
3	90763_236C_S67_L001_R1_001	0.933	0.149	0.324
4	90763_237C_S68_L001_R1_001	0.069	0.013	0
5	90763_238C_S69_L001_R1_001	0.349	0.048	0
6	90768_005C_S70_L001_R1_001	0.655	0.101	0.062
7	90768_009C_S71_L001_R1_001	0.004	0.002	0
8	90768_014C_S72_L001_R1_001	0.004	0	NA
9	90768_015C_S73_L001_R1_001	0.025	0.006	0
10	90768_018C_S74_L001_R1_001	0.002	0.002	0
11	90768_027C_S75_L001_R1_001	0.036	0.011	0
12	90768_029C_S76_L001_R1_001	0.208	0.036	0
13	90768_034C_S77_L001_R1_001	0.008	0.004	0
14	90768_040C_S78_L001_R1_001	0.084	0.021	0
15	90768_042C_S79_L001_R1_001	0.034	0.006	0
16	90768_044C_S80_L001_R1_001	0.279	0.04	0
17	90768_054C_S81_L001_R1_001	0.006	0.002	0
18	90768_055C_S82_L001_R1_001	0.303	0.065	0
19	90768_056C_S83_L001_R1_001	0.008	0.002	0
20	90768_057C_S84_L001_R1_001	0.036	0.011	0
21	90768_061C_S85_L001_R1_001	0.004	0	NA
22	90768_064C_S86_L001_R1_001	0.015	0.004	0
23	90768_067C_S87_L001_R1_001	0.013	0.002	0
24	90768_075C_S88_L001_R1_001	0.084	0.019	0
25	90768_076C_S89_L001_R1_001	0.036	0.008	0
26	90768_077C_S90_L001_R1_001	0.017	0.002	0
27	90768_078C_S91_L001_R1_001	0.273	0.086	0.024
28	90768_083C_S92_L001_R1_001	0.002	0.002	0
29	90768_084C_S93_L001_R1_001	0.021	0.008	0
30	90768_088C_S94_L001_R1_001	0.002	0	NA
31	90768_090C_S95_L001_R1_001	0.002	0	NA
32	90768_104C_S96_L001_R1_001	0.002	0	NA
