Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
52507_184_S27_L001_R1_001	187892	33158	 76438	78296	0.18	0.41	0.42	0.784	0.104	0.154
52507_240_S29_L001_R1_001	 82932	26875	 51300	 4757	0.32	0.62	0.06	0.550	0.076	0.026
52507_362_S33_L001_R1_001	 88979	21066	 60748	 7165	0.24	0.68	0.08	0.556	0.094	0.064
52507_385_S1_L001_R1_001	 90816	22761	 60644	 7411	0.25	0.67	0.08	0.578	0.092	0.065
52507_392_S2_L001_R1_001	 85445	20763	 60920	 3762	0.24	0.71	0.04	0.442	0.064	0.000
52507_397_S3_L001_R1_001	119516	22228	 86120	11168	0.19	0.72	0.09	0.564	0.088	0.068
52507_401_S4_L001_R1_001	 91195	24862	 65965	  368	0.27	0.72	0.00	0.076	0.018	0.000
52507_406_S5_L001_R1_001	 96874	27355	 62805	 6714	0.28	0.65	0.07	0.660	0.086	0.000
52507_407_S6_L001_R1_001	 35473	10581	 24607	  285	0.30	0.69	0.01	0.064	0.010	0.000
52507_411_S7_L001_R1_001	 63925	18465	 40896	 4564	0.29	0.64	0.07	0.516	0.086	0.047
52507_413_S8_L001_R1_001	 76887	20225	 46144	10518	0.26	0.60	0.14	0.670	0.092	0.065
52507_414_S9_L001_R1_001	 69126	19318	 49297	  511	0.28	0.71	0.01	0.124	0.022	0.000
52507_418_S11_L001_R1_001	 80866	20636	 49268	10962	0.26	0.61	0.14	0.708	0.098	0.020
52507_422_S12_L001_R1_001	107873	33216	 73018	 1639	0.31	0.68	0.02	0.324	0.048	0.000
52507_425_S13_L001_R1_001	 59289	21901	 35472	 1916	0.37	0.60	0.03	0.366	0.066	0.000
52507_429_S14_L001_R1_001	 68151	19719	 45555	 2877	0.29	0.67	0.04	0.436	0.082	0.024
52507_431_S15_L001_R1_001	 89444	23051	 53290	13103	0.26	0.60	0.15	0.722	0.102	0.039
52507_440_S16_L001_R1_001	116425	24435	 82765	 9225	0.21	0.71	0.08	0.654	0.090	0.022
52507_442_S17_L001_R1_001	153185	30554	 95857	26774	0.20	0.63	0.17	0.746	0.096	0.062
52507_445_S18_L001_R1_001	 88383	17342	 38045	32996	0.20	0.43	0.37	0.784	0.106	0.151
52507_465_S19_L001_R1_001	135493	28479	 58017	48997	0.21	0.43	0.36	0.734	0.128	0.125
52507_467_S20_L001_R1_001	116996	24817	 63750	28429	0.21	0.54	0.24	0.702	0.104	0.096
52507_472_S21_L001_R1_001	 95351	30964	 61636	 2751	0.32	0.65	0.03	0.400	0.072	0.028
52507_473_S22_L001_R1_001	182443	30219	 87265	64959	0.17	0.48	0.36	0.732	0.104	0.154
52507_477_S23_L001_R1_001	 79797	22678	 52679	 4440	0.28	0.66	0.06	0.548	0.104	0.019
52507_479_S24_L001_R1_001	 66360	 8706	 33506	24148	0.13	0.50	0.36	0.662	0.100	0.080
52507_484_S25_L001_R1_001	131840	29457	 70489	31894	0.22	0.53	0.24	0.796	0.130	0.123
52508_002_S34_L001_R1_001	 90781	28974	 56270	 5537	0.32	0.62	0.06	0.596	0.114	0.053
52508_004_S35_L001_R1_001	114796	29689	 83869	 1238	0.26	0.73	0.01	0.128	0.024	0.000
52508_014_S37_L001_R1_001	 75729	24449	 50049	 1231	0.32	0.66	0.02	0.226	0.032	0.000
52508_019_S39_L001_R1_001	 76263	22842	 51363	 2058	0.30	0.67	0.03	0.310	0.050	0.040
52508_022_S40_L001_R1_001	 92623	26278	 65666	  679	0.28	0.71	0.01	0.144	0.024	0.000
52508_024_S41_L001_R1_001	 75741	20599	 54070	 1072	0.27	0.71	0.01	0.184	0.032	0.000
52508_025_S42_L001_R1_001	 77302	19990	 56327	  985	0.26	0.73	0.01	0.150	0.042	0.000
52508_027_S43_L001_R1_001	108792	30425	 68215	10152	0.28	0.63	0.09	0.656	0.108	0.093
52508_031_S44_L001_R1_001	100604	26565	 71470	 2569	0.26	0.71	0.03	0.384	0.050	0.040
52508_033_S45_L001_R1_001	 89492	21965	 59902	 7625	0.25	0.67	0.09	0.594	0.106	0.057
52508_036_S46_L001_R1_001	138559	27392	 50953	60214	0.20	0.37	0.43	0.738	0.150	0.147
52508_039_S47_L001_R1_001	 79177	24487	 52168	 2522	0.31	0.66	0.03	0.258	0.040	0.000
52508_040_S48_L001_R1_001	 80396	23179	 54491	 2726	0.29	0.68	0.03	0.460	0.068	0.000
52508_043_S49_L001_R1_001	 72141	18566	 46945	 6630	0.26	0.65	0.09	0.640	0.114	0.053
52508_046_S50_L001_R1_001	 80517	25767	 51924	 2826	0.32	0.64	0.04	0.470	0.076	0.026
52508_047_S51_L001_R1_001	103567	33715	 67518	 2334	0.33	0.65	0.02	0.406	0.064	0.000
52508_052_S52_L001_R1_001	151513	30672	 97259	23582	0.20	0.64	0.16	0.790	0.130	0.046
52508_056_S53_L001_R1_001	 94188	22476	 69134	 2578	0.24	0.73	0.03	0.374	0.046	0.043
52508_062_S54_L001_R1_001	 79166	26230	 50582	 2354	0.33	0.64	0.03	0.412	0.064	0.000
52508_064_S55_L001_R1_001	 80198	25844	 52994	 1360	0.32	0.66	0.02	0.248	0.042	0.000
52508_065_S56_L001_R1_001	101397	23577	 65591	12229	0.23	0.65	0.12	0.746	0.108	0.093
52508_069_S57_L001_R1_001	122083	29633	 70039	22411	0.24	0.57	0.18	0.790	0.122	0.066
52508_070_S58_L001_R1_001	 71862	26659	 41740	 3463	0.37	0.58	0.05	0.520	0.098	0.000
52508_078_S59_L001_R1_001	100132	30387	 64856	 4889	0.30	0.65	0.05	0.568	0.080	0.000
52508_086_S61_L001_R1_001	 88575	28411	 59475	  689	0.32	0.67	0.01	0.116	0.018	0.000
52508_087_S62_L001_R1_001	 81031	23540	 50057	 7434	0.29	0.62	0.09	0.598	0.104	0.058
52508_090_S64_L001_R1_001	118028	24789	 58442	34797	0.21	0.50	0.29	0.786	0.132	0.136
52508_091_S65_L001_R1_001	138956	34876	102042	 2038	0.25	0.73	0.01	0.302	0.056	0.107
52508_101_S66_L001_R1_001	 74400	23890	 49554	  956	0.32	0.67	0.01	0.206	0.032	0.000
52508_105_S67_L001_R1_001	 95446	23474	 44798	27174	0.25	0.47	0.28	0.782	0.110	0.091
52508_106_S68_L001_R1_001	 83289	25153	 45362	12774	0.30	0.54	0.15	0.750	0.114	0.053
52508_111_S69_L001_R1_001	 59541	21288	 37557	  696	0.36	0.63	0.01	0.150	0.022	0.000
52508_114_S70_L001_R1_001	 98700	31027	 67228	  445	0.31	0.68	0.00	0.092	0.022	0.000
52508_115_S71_L001_R1_001	 79713	25583	 51793	 2337	0.32	0.65	0.03	0.404	0.068	0.000
52508_117_S72_L001_R1_001	121005	30028	 90310	  667	0.25	0.75	0.01	0.122	0.018	0.111
52508_119_S73_L001_R1_001	104361	25081	 68232	11048	0.24	0.65	0.11	0.710	0.114	0.018
52508_129_S75_L001_R1_001	129484	35762	 88410	 5312	0.28	0.68	0.04	0.486	0.080	0.025
52508_131_S76_L001_R1_001	115789	26219	 84522	 5048	0.23	0.73	0.04	0.540	0.084	0.000
52508_134_S77_L001_R1_001	 70613	21149	 47705	 1759	0.30	0.68	0.02	0.292	0.046	0.000
52508_135_S78_L001_R1_001	 62236	20918	 41057	  261	0.34	0.66	0.00	0.056	0.018	0.000
52508_139_S79_L001_R1_001	 97800	26833	 64835	 6132	0.27	0.66	0.06	0.644	0.098	0.000
52508_143_S80_L001_R1_001	 82750	17947	 59697	 5106	0.22	0.72	0.06	0.480	0.088	0.045
52508_145_S81_L001_R1_001	 10081	 2337	  6359	 1385	0.23	0.63	0.14	0.280	0.060	0.000
52508_156_S83_L001_R1_001	121001	30990	 70098	19913	0.26	0.58	0.16	0.790	0.136	0.059
52508_157_S84_L001_R1_001	166967	25678	 95296	45993	0.15	0.57	0.28	0.782	0.120	0.117
52508_158_S85_L001_R1_001	 92174	28707	 60133	 3334	0.31	0.65	0.04	0.440	0.052	0.038
52508_167_S86_L001_R1_001	 96080	27875	 68165	   40	0.29	0.71	0.00	0.002	0.000	  NaN
52508_168_S87_L001_R1_001	 65881	20782	 44450	  649	0.32	0.67	0.01	0.126	0.026	0.000
52508_173_S88_L001_R1_001	 75678	20621	 46396	 8661	0.27	0.61	0.11	0.654	0.098	0.000
52508_176_S90_L001_R1_001	 56222	17017	 32640	 6565	0.30	0.58	0.12	0.628	0.084	0.024
52508_179_S91_L001_R1_001	 69291	22245	 44995	 2051	0.32	0.65	0.03	0.368	0.050	0.000
52508_182_S92_L001_R1_001	 62223	19754	 41286	 1183	0.32	0.66	0.02	0.232	0.058	0.069
52508_183_S93_L001_R1_001	 68062	20155	 41088	 6819	0.30	0.60	0.10	0.632	0.090	0.044
52508_189_S94_L001_R1_001	 57763	14899	 38211	 4653	0.26	0.66	0.08	0.544	0.080	0.000
52508_201_S95_L001_R1_001	 66523	20861	 45139	  523	0.31	0.68	0.01	0.116	0.014	0.000
